GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xml-format-maven-plugin,au.com.acegi.xmlformat,BlankLinesWriter.NewLinesHandler,8,36,1,5,2,10,1,5,0,3
xml-format-maven-plugin,au.com.acegi.xmlformat,AbstractXmlPlugin,26,281,10,20,2,73,10,19,0,14
xml-format-maven-plugin,au.com.acegi.xmlformat,XmlCheckPlugin,0,39,2,6,0,11,2,5,0,3
xml-format-maven-plugin,au.com.acegi.xmlformat,BlankLinesWriter,13,74,5,11,4,24,5,5,0,2
xml-format-maven-plugin,au.com.acegi.xmlformat,XmlFormatPlugin,0,27,0,4,0,7,0,5,0,3
xml-format-maven-plugin,au.com.acegi.xmlformat,IOUtil,0,33,0,2,0,7,0,3,0,2
xml-format-maven-plugin,au.com.acegi.xmlformat,FormatUtil,1,146,1,9,0,37,1,9,0,5
xml-format-maven-plugin,au.com.acegi.xmlformat,LineEnding,0,49,0,0,0,12,0,4,0,4
xml-format-maven-plugin,au.com.acegi.xmlformat,XmlOutputFormat,0,22,0,0,0,9,0,3,0,3
xml-format-maven-plugin,au.com.acegi.xmlformat,FormatUtil.new EntityResolver() {...},8,3,0,0,1,1,1,1,1,1
xml-format-maven-plugin,com.github.hazendaz.maven.xml_format_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
